N,kappa_bundle_Km_over_Nk,eta_alphaT0,q0_Nh0W,A_seed_one_step,lambda_seed,mean_size,median_size,p90_size,p99_size,max_size,P_size_ge_2,P_size_ge_10,P_spanning,mean_duration,n_avalanches
100,1.0,15.0,0.5,1.0782904651918954,0.005025125628140614,1.7065,1.0,3.0,6.0,15,0.3805,0.003,0.0,0.31332510372745054,2000
100,1.7782794100389228,15.0,0.5,1.0556801823853394,0.00361235212158717,1.72,1.0,3.0,6.0,9,0.4085,0.0,0.0,0.3281972704218589,2000
100,3.1622776601683795,15.0,0.5,1.036785179271231,0.002408316788621301,1.6465,1.0,3.0,6.0,10,0.398,0.001,0.0,0.29277613628233123,2000
100,5.62341325190349,15.0,0.5,1.022940351175397,0.001512078501539449,1.6475,1.0,3.0,6.0,11,0.3855,0.0005,0.0,0.2935370777497825,2000
100,10.0,15.0,0.5,1.0137423413129927,0.0009099181073703999,1.665,1.0,3.0,5.0,7,0.408,0.0,0.0,0.30456550038238833,2000
100,17.78279410038923,15.0,0.5,1.00802229385671,0.0005326857550627118,1.6055,1.0,3.0,5.0,9,0.3805,0.0,0.0,0.28928569442005336,2000
100,31.622776601683793,15.0,0.5,1.00461001797368,0.0003066282924064634,1.6585,1.0,3.0,5.0,8,0.396,0.0,0.0,0.3132114067341495,2000
100,0.01,20.0,0.5,1.22140275816017,0.010000000000000009,6.1085,1.0,4.0,100.0,100,0.44,0.046,0.0435,0.5516365177679311,2000
100,0.01778279410038923,20.0,0.5,1.2195177113262654,0.009922773100057292,5.759,1.0,4.0,100.0,100,0.4545,0.0405,0.04,0.5264824319379126,2000
100,0.03162277660168379,20.0,0.5,1.2162434565044205,0.009788348722278739,5.8945,1.0,4.0,100.0,100,0.4645,0.0435,0.0415,0.5381474226295773,2000
100,0.056234132519034905,20.0,0.5,1.2106553202731558,0.009558090000297392,4.8855,1.0,4.0,100.0,100,0.4645,0.032,0.0305,0.5156701202881488,2000
100,0.1,20.0,0.5,1.2013984322919824,0.00917431192660545,4.3905,1.0,4.0,100.0,100,0.4565,0.028,0.0255,0.5026905266052516,2000
100,0.1778279410038923,20.0,0.5,1.1867970275961335,0.00856290524390424,4.0065,1.0,4.0,100.0,100,0.4395,0.0225,0.022,0.46971534229031187,2000
100,0.31622776601683794,20.0,0.5,1.1654562648725915,0.007655632700638071,3.0735,1.0,4.0,100.0,100,0.451,0.0195,0.012,0.4539116527920852,2000
100,0.5623413251903491,20.0,0.5,1.1375054290586892,0.006441882231521312,2.511,1.0,3.0,9.0,100,0.437,0.0095,0.007,0.41473183080306547,2000
100,1.0,20.0,0.5,1.1057264199076704,0.005025125628140614,1.7975,1.0,3.0,7.0,11,0.425,0.003,0.0,0.3590699642090846,2000
100,1.7782794100389228,20.0,0.5,1.0749208623290858,0.00361235212158717,1.727,1.0,3.0,6.0,10,0.417,0.001,0.0,0.32791875090051753,2000
100,3.1622776601683795,20.0,0.5,1.0493451844506467,0.002408316788621301,1.6545,1.0,3.0,6.0,13,0.3875,0.0005,0.0,0.29631554769405816,2000
100,5.62341325190349,20.0,0.5,1.0307034909560753,0.001512078501539449,1.6665,1.0,3.0,5.009999999999991,9,0.405,0.0,0.0,0.3085505253809393,2000
100,10.0,20.0,0.5,1.0183649614166312,0.0009099181073703999,1.6455,1.0,3.0,6.0,8,0.396,0.0,0.0,0.303352162564031,2000
100,17.78279410038923,20.0,0.5,1.0107106679976043,0.0005326857550627118,1.6405,1.0,3.0,5.0,9,0.3955,0.0,0.0,0.291165981960794,2000
100,31.622776601683793,20.0,0.5,1.00615140852837,0.0003066282924064634,1.681,1.0,3.0,5.0,8,0.4125,0.0,0.0,0.3148302767119943,2000
100,0.01,25.0,0.5,1.2840254166877418,0.010000000000000009,10.225,1.0,6.0,100.0,100,0.461,0.086,0.086,0.6038635559121033,2000
100,0.01778279410038923,25.0,0.5,1.281548775688919,0.009922773100057292,10.21,1.0,5.0,100.0,100,0.4735,0.086,0.086,0.6176590778132105,2000
100,0.03162277660168379,25.0,0.5,1.2772492193810547,0.009788348722278739,8.09,1.0,5.0,100.0,100,0.4605,0.064,0.064,0.5548244383043524,2000
100,0.056234132519034905,25.0,0.5,1.2699178965659483,0.009558090000297392,9.2075,1.0,5.0,100.0,100,0.464,0.076,0.0755,0.5984811991187572,2000
100,0.1,25.0,0.5,1.2577919941761118,0.00917431192660545,7.822,1.0,5.0,100.0,100,0.4525,0.0615,0.0615,0.5736284967106787,2000
100,0.1778279410038923,25.0,0.5,1.238712620583507,0.00856290524390424,7.432,1.0,5.0,100.0,100,0.466,0.057,0.0565,0.6066520710372824,2000
100,0.31622776601683794,25.0,0.5,1.2109326132913443,0.007655632700638071,5.189,1.0,4.0,100.0,100,0.4565,0.036,0.034,0.5278443731320364,2000
100,0.5623413251903491,25.0,0.5,1.1747402458413112,0.006441882231521312,2.7825,1.0,4.0,13.019999999999982,100,0.445,0.012,0.0095,0.4282564478469957,2000
100,1.0,25.0,0.5,1.133860453328085,0.005025125628140614,2.307,1.0,4.0,9.0,100,0.4285,0.008,0.0045,0.41522809949569506,2000
100,1.7782794100389228,25.0,0.5,1.0945122202251842,0.00361235212158717,1.774,1.0,3.0,7.0,20,0.408,0.0035,0.0,0.35565484184285584,2000
100,3.1622776601683795,25.0,0.5,1.06205734625157,0.002408316788621301,1.6805,1.0,3.0,6.0,9,0.3955,0.0,0.0,0.32046361120614214,2000
100,5.62341325190349,25.0,0.5,1.038525545549514,0.001512078501539449,1.696,1.0,3.0,6.0,11,0.4165,0.001,0.0,0.3117280591458896,2000
100,10.0,25.0,0.5,1.0230086604628688,0.0009099181073703999,1.6805,1.0,3.0,6.0,9,0.3975,0.0,0.0,0.3079233995911243,2000
100,17.78279410038923,25.0,0.5,1.013406211975481,0.0005326857550627118,1.6525,1.0,3.0,6.0,11,0.3845,0.0005,0.0,0.2931314905531832,2000
100,31.622776601683793,25.0,0.5,1.0076951640652914,0.0003066282924064634,1.6375,1.0,3.0,6.0,11,0.3845,0.001,0.0,0.29299693747809813,2000
100,0.01,30.0,0.5,1.3498588075760034,0.010000000000000009,14.5225,1.0,100.0,100.0,100,0.483,0.1305,0.1305,0.6636893791356625,2000
100,0.01778279410038923,30.0,0.5,1.346735065195272,0.009922773100057292,15.7155,1.0,100.0,100.0,100,0.4975,0.1425,0.1425,0.6884133005727358,2000
100,0.03162277660168379,30.0,0.5,1.341314980717912,0.009788348722278739,14.619,1.0,100.0,100.0,100,0.493,0.131,0.131,0.6732893877916543,2000
100,0.056234132519034905,30.0,0.5,1.3320814248390838,0.009558090000297392,13.2785,1.0,100.0,100.0,100,0.4955,0.1175,0.1175,0.6569939202483857,2000
100,0.1,30.0,0.5,1.3168326660751193,0.00917431192660545,10.2915,1.0,6.0,100.0,100,0.4625,0.087,0.087,0.574930245925674,2000
100,0.1778279410038923,30.0,0.5,1.2928992243103412,0.00856290524390424,10.5175,1.0,6.0,100.0,100,0.4785,0.089,0.089,0.6160979361048262,2000
100,0.31622776601683794,30.0,0.5,1.2581834583839209,0.007655632700638071,8.8255,1.0,5.0,100.0,100,0.457,0.0725,0.0715,0.619698616727819,2000
100,0.5623413251903491,30.0,0.5,1.2131938977568635,0.006441882231521312,5.6845,1.0,4.0,100.0,100,0.4535,0.0395,0.039,0.546398276326138,2000
100,1.0,30.0,0.5,1.162710327323754,0.005025125628140614,3.0015,1.0,4.0,100.0,100,0.463,0.0155,0.011,0.47569704334272056,2000
100,1.7782794100389228,30.0,0.5,1.1144606474811436,0.00361235212158717,2.1105,1.0,3.0,8.0,100,0.4245,0.0055,0.003,0.39449290430440653,2000
100,3.1622776601683795,30.0,0.5,1.0749235079564785,0.002408316788621301,1.7415,1.0,3.0,6.0,13,0.4305,0.0025,0.0,0.3300771483928346,2000
100,5.62341325190349,30.0,0.5,1.0464069620628447,0.001512078501539449,1.68,1.0,3.0,6.0,13,0.404,0.001,0.0,0.31316412006582506,2000
100,10.0,30.0,0.5,1.0276735345707482,0.0009099181073703999,1.6555,1.0,3.0,6.0,9,0.3915,0.0,0.0,0.2957208826536697,2000
100,17.78279410038923,30.0,0.5,1.0161089449121434,0.0005326857550627118,1.6815,1.0,3.0,6.0,9,0.411,0.0,0.0,0.31412307888540136,2000
100,31.622776601683793,30.0,0.5,1.0092412882130777,0.0003066282924064634,1.6625,1.0,3.0,6.0,8,0.4045,0.0,0.0,0.299412086001902,2000
